mag, bv, long, lat
3.8677,0.268,-126.2994,10.5389
3.8678,0.435,-28.2472,25.3451
3.8713,-0.21,69.0798,-3.3525
3.8713,-0.06,138.5911,2.3143
3.8717,0.425,56.2985,42.5786
3.8729,0.195,-86.5591,-21.0588
3.8752,0.049,-170.5743,-48.5413
3.876,1.562,-107.5535,-59.0414
3.8904,1.01,89.8818,54.2847
3.8948,1.177,-91.6178,56.8726
3.8953,0.317,156.9697,-58.7394
3.896,1.69,42.6742,55.8955
3.8981,1.008,-34.6306,-77.39
3.8987,-0.012,126.4151,-3.9064
3.8992,0.026,-175.0235,-0.6668
3.8999,-0.18,137.8197,-62.317
3.9006,0.015,131.5068,-46.0415
3.903,0.64,83.4063,-62.4898
3.9034,0.13,14.1884,38.4993
3.9077,0.171,86.8212,-51.0665
3.9086,-0.156,-177.087,-52.3685
3.9098,0.3,159.3256,-48.2256
3.9111,-0.018,-104.9276,30.9264
3.9123,1.27,-56.5921,46.7413
3.9123,2.242,-34.1231,58.78
3.9165,1.613,172.8509,69.3311
3.9203,0.032,60.7891,5.9893
3.9211,1.174,136.0387,-47.0977
3.9215,1.011,-73.8292,-21.7415
3.9219,-0.12,17.0962,-55.2458
3.9246,1.002,-38.3332,-22.4113
3.9262,0.984,87.8304,-20.8791
3.929,0.67,130.1565,-46.6487
3.9295,1.006,107.1869,-70.4989
3.9295,-0.105,-69.0284,-40.6159
3.9319,1.132,126.4341,-66.1369
3.9348,1.397,-76.1662,43.9461
3.9412,0.945,163.3736,-58.8532
3.9414,1.01,146.3117,-62.5079
3.9422,-0.157,-139.51,-37.7935
3.9456,0.478,-120.8867,15.6616
3.9504,0.027,-45.7066,41.1671
3.9507,1.024,111.4316,27.7981
3.9512,0.95,-70.7243,53.3685
3.9531,1.04,163.3279,34.2149
3.9531,-0.032,-59.8519,-72.9105
3.9538,-0.18,-166.3516,-57.1779
3.9547,-0.045,-122.2603,-33.6272
3.9564,0.98,47.374,44.8575
3.9567,1.456,156.5226,-16.8363
3.9602,-0.002,30.8588,72.4213
3.9695,0.984,-5.609,46.4581
3.9696,-0.148,71.3756,-3.2547
3.9704,0.029,-89.8387,2.9316
3.973,0.957,68.8877,-30.5623
3.9796,1.433,-138.0345,-79.0448
3.9801,-0.098,25.9152,50.6887
3.9821,0.543,48.0189,-28.9876
3.9854,-0.15,108.7027,-26.7727
3.9864,-0.025,62.1654,47.7125
3.9884,0.228,-69.5818,-17.8472
3.9932,0.858,95.5285,-33.4364
3.9946,0.175,6.5508,-43.6798
3.9952,-0.168,-175.3906,-64.0031
3.9964,-0.152,-140.5282,-49.4258
3.9974,0.888,-62.9569,70.2679
3.9978,-0.123,-51.6968,11.3033
